Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A849089,*Leon Redbone,1/2/2022 8:02,Jan-22,4434 Frontier Trail in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Redbone Hound/Greyhound,Brown
A849090,Trouble,1/2/2022 8:30,Jan-22,4434 Frontier Trail in Austin (TX),Owner Surrender,Injured,Dog,Intact Male,2 years,Bulldog/Pit Bull,Tan/White
A849091,Ripley,1/2/2022 8:41,Jan-22,7632 E Ben White Blvd in Austin (TX),Public Assist,Normal,Dog,Spayed Female,3 years,Pit Bull/Labrador Retriever,Black/White
A849103,,1/2/2022 10:21,Jan-22,400 Kellam Rd in Travis (TX),Stray,Normal,Dog,Intact Male,10 months,German Shepherd Mix,Brown/Black
A849097,Chief,1/2/2022 10:28,Jan-22,800 Shady Lane in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull,White/Red
A849104,Coco,1/2/2022 10:40,Jan-22,1148 Tillery Street in Austin (TX),Stray,Normal,Dog,Intact Male,8 months,Australian Cattle Dog,Brown Merle
A848702,Moody,1/2/2022 10:59,Jan-22,Stonehollow Drive in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Labrador Retriever/Siberian Husky,Yellow
A849109,Ocean,1/2/2022 12:16,Jan-22,11539 Maha Loop in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Shih Tzu,Cream
A849112,*Bubbles,1/2/2022 13:04,Jan-22,Stassney And Buffalo Pass in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull,Blue/White
A765738,*Andy,1/2/2022 13:48,Jan-22,East Martin Luther King Jr Dr in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Red
A849117,Dahlia,1/2/2022 14:19,Jan-22,132 S Fm 973 in Austin (TX),Stray,Normal,Dog,Intact Female,10 months,Beagle Mix,White/Tan
A849122,,1/2/2022 14:30,Jan-22,808 Rutherford Place in Austin (TX),Stray,Normal,Dog,Intact Male,4 weeks,Anatol Shepherd,Black/White
A849120,*Anna,1/2/2022 14:30,Jan-22,808 Rutherford Place in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Anatol Shepherd,White/Black
A849121,,1/2/2022 14:30,Jan-22,808 Rutherford Place in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Anatol Shepherd,White
A849124,*Tres,1/2/2022 14:30,Jan-22,808 Rutherford Place in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Anatol Shepherd,White/Black
A849123,,1/2/2022 14:30,Jan-22,808 Rutherford Place in Austin (TX),Stray,Normal,Dog,Intact Male,4 weeks,Anatol Shepherd,White/Black
A849128,,1/2/2022 14:30,Jan-22,808 Rutherford Place in Austin (TX),Stray,Normal,Dog,Intact Male,4 weeks,Anatol Shepherd,White/Blue Merle
A849125,*Kewpie,1/2/2022 14:37,Jan-22,8827 East Drive in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix,Blue/White
A849129,,1/2/2022 15:33,Jan-22,9201 Brodie Lane Apartment 303 in Austin (TX),Stray,Neonatal,Dog,Intact Female,1 year,Yorkshire Terrier Mix,Brown/Tan
A848742,Mauser,1/2/2022 16:22,Jan-22,8601 Anderson Mill Road in Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,6 months,German Shepherd,Black/Brown
A849133,Luna,1/2/2022 16:58,Jan-22,1015 E Yager Lane in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,Cane Corso,Black Brindle
A849148,,1/3/2022 7:58,Jan-22,4434 Frontier in Austin (TX),Owner Surrender,Sick,Dog,Intact Male,5 months,Labrador Retriever Mix,Brown/Black
A849152,Bruno,1/3/2022 9:49,Jan-22,14435 Cameron Road in Manor (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Brown Brindle/White
A849155,A849155,1/3/2022 10:36,Jan-22,9935 Old Lockhart Road in Austin (TX),Stray,Normal,Dog,Intact Female,14 years,Rat Terrier Mix,White/Tricolor
A849161,*Bonita,1/3/2022 10:53,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,8 months,Border Collie Mix,Black/Brown
A849160,*Latka,1/3/2022 10:53,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,5 months,Black Mouth Cur Mix,Brown
A849162,Drea,1/3/2022 11:28,Jan-22,12342 Caldvis in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,German Shepherd/Anatol Shepherd,Tan/Black
A849166,Shakespeare,1/3/2022 11:33,Jan-22,4401 Hayride Lane in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Doberman Pinsch,Black/Brown
A849167,*Charisma,1/3/2022 11:33,Jan-22,4401 Hayride Lane in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Siberian Husky,Red/White
A836670,Tiberious,1/3/2022 12:28,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,5 years,Siberian Husky,Black/White
A828866,Cyrus,1/3/2022 12:45,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Pit Bull/Dutch Shepherd,Brown Brindle/White
A849174,Zuzu,1/3/2022 13:18,Jan-22,Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd Mix,Brown/Black
A848384,Chewy,1/3/2022 13:22,Jan-22,Austin (TX),Stray,Normal,Dog,Intact Male,1 year,West Highland Mix,White/Tan
A849176,Hercules,1/3/2022 13:22,Jan-22,Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull,Fawn/White
A849182,Brody,1/3/2022 14:25,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,8 months,Anatol Shepherd Mix,Tan/White
A849185,Lily,1/3/2022 14:30,Jan-22,2214  E 7Th Street in Austin (TX),Stray,Injured,Dog,Intact Female,15 years,Chihuahua Shorthair,Brown
A849186,A849186,1/3/2022 14:36,Jan-22,1709 Highway 71 in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Shiba Inu/Whippet,Tan
A849189,Pomegranate,1/3/2022 15:06,Jan-22,1412 Norseman Terrace in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Manchester Terrier Mix,Black/Brown
A849190,*Fish,1/3/2022 15:16,Jan-22,9610 Bear Paw Trail in Austin (TX),Stray,Normal,Dog,Intact Female,8 months,Border Collie,Black/White
A849191,Keeko,1/3/2022 15:16,Jan-22,9610 Bear Paw Trail in Austin (TX),Stray,Normal,Dog,Intact Female,8 months,Border Collie,Black/White
A849195,*Ruby,1/3/2022 15:38,Jan-22,Tech Ridge Boulevard And Yager Lane in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,German Shepherd,White
A849196,*Scrim,1/3/2022 15:38,Jan-22,Tech Ridge Boulevard And Yager Lane in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,German Shepherd Mix,White/Red
A849197,Jackson,1/3/2022 16:01,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,5 months,Labrador Retriever Mix,Black
A849203,A849203,1/3/2022 16:49,Jan-22,Walnut Creek Park in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Dachshund Mix,Black/Brown
A849202,Pauly,1/3/2022 16:49,Jan-22,Walnut Creek Park in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Dachshund Mix,Brown/White
A849206,Jill,1/3/2022 17:20,Jan-22,East Oltorf And Sunridge Drive in Austin (TX),Stray,Normal,Dog,Intact Female,3 months,Border Collie Mix,Black/White
A849205,Peanut,1/3/2022 17:20,Jan-22,East Oltorf And Sunridge Drive in Austin (TX),Stray,Normal,Dog,Intact Male,3 months,Labrador Retriever Mix,Brown/Black
A849204,,1/3/2022 17:23,Jan-22,11601 Century Oaks Ter in Austin (TX),Stray,Injured,Dog,Spayed Female,2 years,Maltese,White/White
A849215,Diamond,1/3/2022 17:37,Jan-22,East 290 in Manor (TX),Stray,Normal,Dog,Intact Female,2 years,Staffordshire Mix,Blue/White
A847886,Hunter,1/3/2022 17:52,Jan-22,5212 Feller in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd,Tan/Black
A849216,*Epic,1/3/2022 20:27,Jan-22,1156 W Cesar Chavez in Austin (TX),Stray,Normal,Dog,Intact Male,10 months,Pit Bull Mix,White
A849224,,1/4/2022 8:40,Jan-22,1800 Lavaca St in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,German Shepherd Mix,Brown
A837027,*Persephone,1/4/2022 10:38,Jan-22,6806 Evelyn Road in Travis (TX),Abandoned,Normal,Dog,Spayed Female,8 months,German Shepherd,Tan
A849227,*Onyx,1/4/2022 10:44,Jan-22,6806 Evelyn Road in Travis (TX),Abandoned,Normal,Dog,Intact Male,3 years,Labrador Retriever Mix,Black
A849228,,1/4/2022 10:49,Jan-22,6806 Evelyn Road in Travis (TX),Abandoned,Normal,Dog,Intact Female,6 years,Chihuahua Shorthair Mix,Tan
A849229,,1/4/2022 10:51,Jan-22,6806 Evelyn Road in Travis (TX),Abandoned,Normal,Dog,Intact Female,1 month,Chihuahua Shorthair,Tan
A849236,Toko,1/4/2022 11:13,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Chihuahua Longhair,Gold
A812875,*Jade,1/4/2022 11:15,Jan-22,8214 East Riverside in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Pit Bull,Brown/White
A849238,*Pookie,1/4/2022 11:43,Jan-22,9810 Fm 969 in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Flat Coat Retriever Mix,Black
A849240,Princess,1/4/2022 12:17,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,4 years,Dachshund Mix,Tan/White
A849246,*Aloe,1/4/2022 13:28,Jan-22,Manor (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Black/White
A849254,*Peperomia,1/4/2022 13:28,Jan-22,Manor (TX),Owner Surrender,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Black/Brown
A849255,*Pothos,1/4/2022 13:28,Jan-22,Manor (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Black/Brown
A849256,*Dracaena,1/4/2022 13:28,Jan-22,Manor (TX),Owner Surrender,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Black/Brown
A849248,*Zz,1/4/2022 13:28,Jan-22,Manor (TX),Owner Surrender,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Black
A849251,Mimosa,1/4/2022 13:28,Jan-22,Manor (TX),Owner Surrender,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Black/White
A849252,Pika,1/4/2022 13:28,Jan-22,Manor (TX),Owner Surrender,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Black/White
A849247,Dewwy,1/4/2022 13:28,Jan-22,Manor (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Black/White
A849249,*Begonia,1/4/2022 13:28,Jan-22,Manor (TX),Owner Surrender,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Black/White
A849250,*Ficus,1/4/2022 13:28,Jan-22,Manor (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Black
A849253,*Hoya,1/4/2022 13:28,Jan-22,Manor (TX),Owner Surrender,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Black
A849243,Rita,1/4/2022 13:49,Jan-22,1314 Possum Trot in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Pit Bull/Australian Cattle Dog,Brown/White
A849257,Oreo,1/4/2022 14:30,Jan-22,701 Woodward in Austin (TX),Stray,Normal,Dog,Intact Female,8 months,Chihuahua Shorthair Mix,Black/White
A849259,A849259,1/4/2022 14:56,Jan-22,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Neutered Male,8 years,Chihuahua Longhair,Tricolor
A849261,*Vera,1/4/2022 14:59,Jan-22,Hayney Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Pit Bull Mix,Black/White
A849268,Rosie,1/4/2022 15:32,Jan-22,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,2 years,Pit Bull Mix,White/Brown
A849267,Diamond,1/4/2022 15:32,Jan-22,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,4 years,Pit Bull Mix,White/Brown
A848000,Cola,1/4/2022 17:10,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Boxer Mix,Black/White
A849272,*Romeo,1/4/2022 17:41,Jan-22,9017 Williamson in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Yellow/White
A849286,*J.K. Simmons,1/5/2022 10:25,Jan-22,73 San Marcos St in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Brown/White
A837216,Max,1/5/2022 11:29,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,6 years,English Shepherd,Brown/White
A845363,Cooper,1/5/2022 12:21,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White
A849306,*Imelda,1/5/2022 13:33,Jan-22,9414 North Lamar in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Dachshund Mix,Brown/White
A843720,Luna,1/5/2022 14:54,Jan-22,1500 Faro in Austin (TX),Stray,Normal,Dog,Spayed Female,7 months,Maltese,Black/White
A648493,Swiper,1/5/2022 15:01,Jan-22,7201 Levander Loop in Austin (TX),Abandoned,Normal,Dog,Neutered Male,10 years,Pit Bull Mix,White/Brown
A849312,Mochi,1/5/2022 15:30,Jan-22,3412 Duke Rd in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull,Brown Brindle/White
A849316,,1/5/2022 15:50,Jan-22,Austin (TX),Owner Surrender,Sick,Dog,Intact Female,5 months,Labrador Retriever,Brown/White
A849315,,1/5/2022 15:50,Jan-22,Austin (TX),Owner Surrender,Sick,Dog,Intact Male,5 months,Labrador Retriever,White/Black
A849317,Will Sniff,1/5/2022 16:06,Jan-22,Slaughter And Manchaca in Austin (TX),Public Assist,Normal,Dog,Intact Male,1 year,American Bulldog,Black/White
A849240,Princess,1/5/2022 17:52,Jan-22,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Dachshund Mix,Tan/White
A849323,*Penny,1/5/2022 18:00,Jan-22,7901 East Ben White in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull/Boxer,Blue/White
A849325,*Carlos,1/5/2022 18:00,Jan-22,7901 East Ben White in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Staffordshire,Brown/White
A849324,*Randy,1/5/2022 18:00,Jan-22,7901 East Ben White in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Black/White
A849334,Nova,1/6/2022 8:20,Jan-22,4900 East Oltrof Unit 716 in Austin (TX),Owner Surrender,Sick,Dog,Intact Female,1 year,Pit Bull,Fawn
A849335,*Pancho,1/6/2022 8:25,Jan-22,Lazy Ridge And Crystal Bend in Austin (TX),Stray,Injured,Dog,Intact Male,5 months,Border Collie,Black/White
A833526,Zimara,1/6/2022 10:01,Jan-22,Manor (TX),Owner Surrender,Normal,Dog,Intact Female,2 years,Pit Bull,Blue/White
A843516,Lucas,1/6/2022 10:23,Jan-22,250 North Lamar Blvd in Austin (TX),Public Assist,Normal,Dog,Neutered Male,4 years,Great Pyrenees,White
A843515,Jax,1/6/2022 10:23,Jan-22,250 North Lamar Blvd in Austin (TX),Public Assist,Normal,Dog,Neutered Male,4 years,Great Pyrenees,White/Tan
A849348,Diamond,1/6/2022 11:49,Jan-22,Mlk And Singleton Avenue in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,Staffordshire Mix,Brown Brindle/White
A849354,Loki,1/6/2022 12:29,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,4 years,German Shepherd,Black/Tan
A849360,Yogurt,1/6/2022 13:07,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,10 months,Chihuahua Shorthair Mix,Yellow
A849362,*Monday,1/6/2022 13:18,Jan-22,Outside Jurisdiction,Stray,Normal,Dog,Intact Female,8 months,Siberian Husky,Chocolate/Tan
A849361,,1/6/2022 13:21,Jan-22,4710 Bundyhill Dr in Austin (TX),Stray,Injured,Dog,Intact Female,7 months,Doberman Pinsch,Black/Brown
A849363,,1/6/2022 14:12,Jan-22,8515 Shoal Creek in Austin (TX),Stray,Sick,Dog,Intact Female,4 weeks,German Shepherd Mix,Black
A849366,*Ollie,1/6/2022 15:00,Jan-22,4411 Teri Road in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair,Tan/White
A849368,Sarge,1/6/2022 15:25,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,9 months,Labrador Retriever/Pit Bull,Black/White
A849372,*Cheyenne,1/6/2022 16:59,Jan-22,3505 River Rd in Travis (TX),Stray,Normal,Dog,Intact Female,7 months,Labrador Retriever Mix,Black/White
A849376,*Nelly,1/6/2022 17:06,Jan-22,16020 Stuart in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Great Pyrenees,White
A849375,Riley,1/6/2022 17:06,Jan-22,16020 Stuart in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,German Shepherd,Tan/Black
A849377,Jackson,1/6/2022 17:32,Jan-22,15503 Patrica Street in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Australian Cattle Dog Mix,Blue Tick/Tricolor
A849379,A849379,1/6/2022 17:32,Jan-22,15503 Patrica Street in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Australian Cattle Dog Mix,White/Tricolor
A849378,A849378,1/6/2022 17:32,Jan-22,15503 Patrica Street in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Australian Cattle Dog Mix,White/Tricolor
A845942,Ruffian,1/6/2022 21:21,Jan-22,5808 Montrelia in Austin (TX),Public Assist,Normal,Dog,Intact Male,6 months,Pit Bull Mix,Brown Brindle/White
A849387,*Mamacita,1/6/2022 23:18,Jan-22,2103 Lamplight in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Pit Bull/Pointer,Brown/White
A849386,Nugget,1/6/2022 23:18,Jan-22,2103 Lamplight in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Pit Bull Mix,Tan/White
A849401,King,1/7/2022 8:42,Jan-22,1722 Bunche Rd in Austin (TX),Public Assist,Behavior,Dog,Intact Male,2 years,Pit Bull,Tricolor
A849402,Koby,1/7/2022 8:42,Jan-22,1722 Bunche Rd in Austin (TX),Public Assist,Behavior,Dog,Intact Male,2 years,American Bulldog,Brown Merle
A849406,Captain,1/7/2022 9:55,Jan-22,Fm 969 And Hunters Bend in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Labrador Retriever,Yellow
A849408,Canelo,1/7/2022 9:55,Jan-22,Fm 969 And Hunters Bend in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair,Tan
A849407,Princess,1/7/2022 9:55,Jan-22,Fm 969 And Hunters Bend in Austin (TX),Stray,Normal,Dog,Intact Female,8 months,Labrador Retriever,Yellow
A849411,*Connery,1/7/2022 11:34,Jan-22,13257 Harrisglenn Dr in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White
A849415,Luna,1/7/2022 11:34,Jan-22,6008 Lofgren Cove in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Longhair Mix,Black/Brown
A849414,*Odessa,1/7/2022 11:34,Jan-22,13257 Harrisglenn Dr in Austin (TX),Stray,Injured,Dog,Intact Female,2 years,Pit Bull Mix,White/Blue
A849413,*Natalia,1/7/2022 11:34,Jan-22,6008 Lofgren Cove in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chinese Sharpei Mix,White
A849420,China,1/7/2022 11:54,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,8 years,Chihuahua Shorthair/Yorkshire Terrier,Black/White
A849417,Nena,1/7/2022 11:54,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,9 years,Chihuahua Shorthair/Dachshund,Black/White
A849418,Roger,1/7/2022 12:16,Jan-22,183 And Montopolis in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Black/Tan Hound Mix,Black/Brown
A849419,*Danielle,1/7/2022 12:16,Jan-22,183 And Montopolis in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Pit Bull Mix,White/Brown
A746653,Libby,1/7/2022 12:41,Jan-22,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Tan
A848011,Nellie,1/7/2022 12:53,Jan-22,6811 Croydon Loop in Austin (TX),Owner Surrender,Normal,Dog,Intact Female,3 years,Anatol Shepherd Mix,Tan
A849424,Bb,1/7/2022 13:08,Jan-22,Running Water And Salt Springs in Austin (TX),Stray,Normal,Dog,Intact Male,10 years,Labrador Retriever,Black/White
A815072,Prosper,1/7/2022 13:16,Jan-22,26Th St in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Labrador Retriever,Yellow
A849426,*Zendaya,1/7/2022 13:25,Jan-22,10701 Mcangus Road in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Italian Greyhound Mix,Brown/Black
A849430,*Devin,1/7/2022 14:42,Jan-22,Fm 812 And 183 in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Labrador Retriever Mix,Brown/Black
A849434,*Agustin,1/7/2022 15:01,Jan-22,13000 Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever,Black/White
A849435,*Felix,1/7/2022 15:01,Jan-22,13000 Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever,Black
A849431,*Bruno,1/7/2022 15:01,Jan-22,13000 Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Black/White
A849432,*Pepa,1/7/2022 15:01,Jan-22,13000 Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever,Black
A849433,Nubis,1/7/2022 15:01,Jan-22,13000 Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever,Black
A849442,Bandit,1/7/2022 16:13,Jan-22,2200 Manowar in Travis (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Tan
A849443,Kash,1/7/2022 16:44,Jan-22,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Australian Cattle Dog/Labrador Retriever,Black/White
A849446,Oso,1/7/2022 17:26,Jan-22,16301 Decker Creek in Manor (TX),Stray,Normal,Dog,Intact Male,11 months,Anatol Shepherd,Buff/Black
A849463,Beans,1/8/2022 9:23,Jan-22,7300 Fm 2222 in Travis (TX),Stray,Injured,Dog,Intact Male,4 years,Labrador Retriever Mix,Black
A849467,*Pixie,1/8/2022 10:15,Jan-22,13409 John Tyler St in Manor (TX),Public Assist,Normal,Dog,Spayed Female,7 years,Chihuahua Shorthair,Tan
A849471,Rocko,1/8/2022 12:29,Jan-22,Sandshof Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,American Bulldog,Brown Brindle
A849472,*Zoe,1/8/2022 13:15,Jan-22,2819 Foster Lane in Austin (TX),Stray,Normal,Dog,Intact Female,3 months,German Shepherd Mix,Black/Tan
A849474,Jet,1/8/2022 13:41,Jan-22,2702 Crest Ave in Austin (TX),Stray,Sick,Dog,Intact Male,5 months,Labrador Retriever/Pit Bull,Black/White
A812967,Freckles,1/8/2022 13:52,Jan-22,2400 E Oltorf in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Treeing Walker Coonhound Mix,White/Brown
A849481,A849481,1/8/2022 14:37,Jan-22,8213 View Ridge Drive in Austin (TX),Stray,Injured,Dog,Intact Female,5 years,Dachshund/American Staffordshire Terrier,Brown/White
A849488,Max,1/8/2022 15:46,Jan-22,9722 Bock Road in Mustang Ridge (TX),Stray,Normal,Dog,Intact Male,2 years,American Bulldog/Boxer,White/Black
A849489,*Ivy,1/8/2022 16:06,Jan-22,Ben White And Menchaca Randalls in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Chihuahua Shorthair,Fawn
A849490,Sky,1/8/2022 16:13,Jan-22,Parkfield Drive And Copper Hill Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Siberian Husky,Black/White
A849491,A849491,1/8/2022 16:13,Jan-22,9036 North Lamar Boulvarad in Austin (TX),Stray,Normal,Dog,Intact Female,6 months,German Shepherd/Siberian Husky,Black/Tan
A849502,*Luisa,1/8/2022 17:57,Jan-22,Stassney Lane And Knuckols Crossing Road in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Siberian Husky/German Shepherd,Brown
A849497,*Abuela Alma,1/8/2022 17:57,Jan-22,Stassney Lane And Knuckols Crossing Road in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Siberian Husky/German Shepherd,Brown
A849499,*Isabela,1/8/2022 17:57,Jan-22,Stassney Lane And Knuckols Crossing Road in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Siberian Husky/German Shepherd,Brown
A849501,*Mirabel,1/8/2022 17:57,Jan-22,Stassney Lane And Knuckols Crossing Road in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Siberian Husky/German Shepherd,Brown
A849500,*Camilo,1/8/2022 17:57,Jan-22,Stassney Lane And Knuckols Crossing Road in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Siberian Husky/German Shepherd,Brown
A849503,Indigo,1/8/2022 17:57,Jan-22,Stassney Lane And Knuckols Crossing Road in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Siberian Husky/German Shepherd,Brown
A849498,Basil,1/8/2022 17:57,Jan-22,Stassney Lane And Knuckols Crossing Road in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Siberian Husky/German Shepherd,Brown Tiger/Cream
A849505,Diego,1/8/2022 18:28,Jan-22,Harris Branch Pkwy And Killingsworth in Austin (TX),Stray,Normal,Dog,Neutered Male,3 years,Siberian Husky,Black/White
A849506,Mia,1/8/2022 18:28,Jan-22,Harris Branch Pkwy And Killingsworth in Austin (TX),Stray,Normal,Dog,Intact Female,8 months,Rottweiler/Labrador Retriever,Black/Tan
A849507,Cheech,1/8/2022 20:41,Jan-22,2300 Pasadena Drive in Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Brown
A849510,Benny,1/9/2022 8:59,Jan-22,3005 South Lamar Blvd in Austin (TX),Public Assist,Normal,Dog,Intact Male,2 months,Beagle Mix,Tricolor
A849511,Lola,1/9/2022 9:48,Jan-22,2500 South Lakeshore Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,German Shepherd Mix,Fawn
A757221,Snert,1/9/2022 11:17,Jan-22,Palace Parkway And Essex Way in Austin (TX),Stray,Normal,Dog,Neutered Male,6 years,Norfolk Terrier Mix,Tan/Black
A849515,Pinto,1/9/2022 12:00,Jan-22,7602 Robalo Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull,Brown Brindle
A849527,,1/9/2022 16:47,Jan-22,4204 River Road in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull/Labrador Retriever,Brown/White
A849528,*Bitsy,1/9/2022 17:15,Jan-22,9414 N Lamar Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,10 months,Pit Bull/Labrador Retriever,Black Brindle
